Status,zpid,Address,City,Zip,Beds,Baths,Square,Zestimate,Sale,Longitude,Latitude,Days,Views,Saves,LastSoldDate,LastSoldPrice,Feature,Date
status,111386641,2469 Amantea Way,Dublin,CA 94568,4 beds,3 baths,2870 sqft,1380456,1288900,-121.848564,37.72314,2,355,2,Sep-14,975000,Type:Single Family;Year Built:2012;Heating:Forced air;Cooling:Central;Parking:3 spaces;Lot:8376 sqft;Days on Zillow:2 Days;Price/sqft:$449;Saves:2;Past 12 months:,2018/4/27
status,24994032,33017 Carrara Ter,Union City,CA 94587,4 beds,3 baths,1612 sqft,788106,699000,-122.030752,37.604265,5,2399,57,Mar-02,395000,Type:Single Family;Year Built:1997;Heating:Forced air;Cooling:Central Other;Parking:Attached Garage;Lot:;Days on Zillow:5 Days;Price/sqft:$434,2018/4/27
status,18293636,1786 Concannon Dr,Oakley,CA 94561,3 beds,2 baths,1348 sqft,430618,410000,-121.725708,38.007278,3,702,17,Nov-09,169000,Type:Single Family;Year Built:1989;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:5998 sqft;Days on Zillow:3 Days;Price/sqft:$304;Saves:17;Past 12 months:,2018/4/27
status,19726307,1404 Bal Harbor Way,San Jose,CA 95122,3 beds,1 bath,910 sqft,683994,650000,-121.835773,37.337461,Less than 1,195,N/A,Nov-98,206000,Type:Single Family;Year Built:1959;Heating:Forced air;Cooling:None;Parking:No Data;Lot:5536 sqft;Days on Zillow:Less than 1 day;Price/sqft:$714,2018/4/27
status,243211641,17080 Summit Way,Los Gatos,CA 95030,5 beds,7 baths,4571 sqft,,4985000,-121.967968,37.248586,2,541,15,N/A,N/A,Type:Single Family;Year Built:2018;Heating:Forced air;Cooling:Central;Parking:Attached Garage;Lot:0.52 acres;Days on Zillow:2 Days;Price/sqft:$1091,2018/4/27
status,15782305,2996 Park Meadow Dr,Santa Rosa,CA 95407,4 beds,3 baths,2204 sqft,642030,700000,-122.746492,38.411954,47,N/A,13,Mar-09,284000,Type:Single Family;Year Built:2002;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:5662 sqft;Days on Zillow:47 Days;Price/sqft:$318;Saves:13;Past 12 months:,2018/4/27
status,19658181,14222 Loveland Ct,Saratoga,CA 95070,5 beds,3 baths,3254 sqft,3835453,3480000,-122.023886,37.262034,3,808,30,May-06,2420000,Type:Single Family;Year Built:1968;Heating:Forced air;Cooling:Central;Parking:Attached Garage;Lot:0.53 acres;Days on Zillow:3 Days;Price/sqft:$1069,2018/4/27
status,18338338,1263 Beaulieu Dr,Bay Point,CA 94565,4 beds,3 baths,2084 sqft,547013,519000,-121.970756,38.025257,13,1397,21,N/A,N/A,Type:Single Family;Year Built:1991;Heating:No Data;Cooling:No Data;Parking:2 spaces;Lot:4860 sqft;Days on Zillow:13 Days;Price/sqft:$249;Saves:21,2018/4/27
status,19300661,30 Green Valley Ct,San Anselmo,CA 94960,4 beds,4 baths,2847 sqft,1968059,1995000,-122.575073,38.005149,2,283,15,Apr-95,570000,Type:Single Family;Year Built:1953;Heating:;Cooling:;Parking:No Data;Lot:0.37 acres;Days on Zillow:2 Days;Price/sqft:$701,2018/4/27
status,19237518,10 Barker Ave,Fairfax,CA 94930,3 beds,2 baths,1206 sqft,837610,899000,-122.591621,37.977394,1,641,41,N/A,N/A,Type:Single Family;Year Built:1956;Heating:;Cooling:;Parking:No Data;Lot:3920 sqft;Days on Zillow:1 Day;Price/sqft:$745,2018/4/27
status,2091697171,15001 Highway 4,Byron,CA 94505,3 beds,3 baths,4573 sqft,1488856,1179000,-121.611441,37.888682,121,N/A,10,N/A,N/A,Type:Single Family;Year Built:1984;Heating:;Cooling:;Parking:Attached Garage;Lot:18.1 acres;Days on Zillow:121 Days;Price/sqft:$258,2018/4/27
status,95427965,1903 Maritime Way,Richmond,CA 94804,3 beds,3 baths,1401 sqft,660169,635000,-122.346946,37.917547,Less than 1,147,5,Aug-16,500000,Type:Condo;Year Built:2009;Heating:Forced air;Cooling:;Parking:2 spaces;HOA:$255/month;Days on Zillow:Less than 1 day;Price/sqft:$453,2018/4/27
status,19526001,561 Gabilan St,Los Altos,CA 94022,3 beds,3 baths,1766 sqft,3054895,2895000,-122.110424,37.372878,1,509,30,Jun-15,2210000,Type:Single Family;Year Built:1948;Heating:Forced air;Cooling:Central;Parking:Detached Garage;Lot:8494 sqft;Days on Zillow:1 Day;Price/sqft:$1639,2018/4/27
status,24802877,411 Stoneford Ave,Oakland,CA 94603,3 beds,1 bath,1437 sqft,439397,399888,-122.182581,37.733423,2,434,22,N/A,N/A,Type:Single Family;Year Built:1942;Heating:;Cooling:;Parking:No Data;Lot:4056 sqft;Days on Zillow:2 Days;Price/sqft:$278,2018/4/27
status,18278101,1832 Dolphin Pl,Discovery Bay,CA 94505,3 beds,3 baths,2082 sqft,697598,649900,-121.607187,37.899259,201,N/A,14,Jun-04,642000,Type:Single Family;Year Built:1986;Heating:;Cooling:Central;Parking:Attached Garage;Lot:7365 sqft;Days on Zillow:201 Days;Price/sqft:$312,2018/4/27
status,18542150,2335 Andrade Ave,Richmond,CA 94804,2 beds,1 bath,853 sqft,458599,429000,-122.346541,37.947989,15,1623,44,N/A,N/A,Type:Single Family;Year Built:1943;Heating:;Cooling:;Parking:No Data;Lot:5000 sqft;Days on Zillow:15 Days;Price/sqft:$503,2018/4/27
status,15610365,3913 Savannah Ct,South San Francisco,CA 94080,3 beds,2 baths,1690 sqft,1017396,899000,-122.464301,37.6493,7,871,19,Mar-15,775000,Type:Single Family;Year Built:1974;Heating:Forced air;Cooling:Central;Parking:Attached Garage;Lot:2500 sqft;Days on Zillow:7 Days;Price/sqft:$532,2018/4/27
